parent_directory,is_file,name,size_in_bytes
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.ServicePoint.dll,16968
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.Sockets.dll,118856
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.WebClient.dll,32840
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.WebHeaderCollection.dll,20552
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.ObjectModel.dll,35912
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Private.CoreLib.dll,2558536
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Private.Uri.dll,85064
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Private.Xml.dll,1548872
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Private.Xml.Linq.dll,59464
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Reflection.Metadata.dll,115784
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Resources.ResourceManager.dll,13896
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.CompilerServices.Unsafe.dll,13384
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.dll,21336
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.Extensions.dll,14408
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.InteropServices.dll,16968
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.InteropServices.RuntimeInformation.dll,16968
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.Numerics.dll,56392
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.Serialization.Formatters.dll,26696
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Runtime.Serialization.Primitives.dll,14920
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Claims.dll,21576
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Cryptography.Algorithms.dll,60488
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Cryptography.Cng.dll,51272
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Cryptography.Csp.dll,36424
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Cryptography.Encoding.dll,35400
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Cryptography.Primitives.dll,44104
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Cryptography.X509Certificates.dll,113224
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Security.Principal.Windows.dll,50760
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Text.Encoding.Extensions.dll,13896
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Text.Encodings.Web.dll,42056
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Text.Json.dll,340040
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Text.RegularExpressions.dll,173128
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Threading.Channels.dll,40008
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Threading.dll,20552
